stock,target,tipo
BERK34,79.09,acoes_int
DISB34,73.00,acoes_int
GOGL35,75.80,acoes_int
MELI34,80.00,acoes_int
T1TW34,200.00,acoes_int
ABCB4,18.50,acoes_nac
BBAS3,36.25,acoes_nac
BBSE3,33.75,acoes_nac
CBAV3,19.00,acoes_nac
CCRO3,12.45,acoes_nac
CPLE6,7.80,acoes_nac
EGIE3,50.00,acoes_nac
ELET6,41.00,acoes_nac
ENBR3,25.00,acoes_nac
GRND3,8.33,acoes_nac
ITSA4,12.00,acoes_nac
LAVV3,12.00,acoes_nac
MRVE3,14.31,acoes_nac
ODPV3,14.20,acoes_nac
PETR4,30.00,acoes_nac
RRRP3,80.00,acoes_nac
SLCE3,72.00,acoes_nac
SQIA3,28.00,acoes_nac
TAEE11,35.00,acoes_nac
TUPY3,20.00,acoes_nac
UNIP6,35.00,acoes_nac
VAMO3,73.00,acoes_nac
VIVT3,53.00,acoes_nac
WIZS3,9.60,acoes_nac
ALZR11,127.00,fii
BTLG11,121.00,fii
HGLG11,170.00,fii
HGRU11,125.00,fii
IRDM11,117.00,fii
MALL11,105.00,fii
MCCI11,108.00,fii
PVBI11,108.00,fii
RBRP11,92.00,fii
RECR11,110.00,fii
VGIP11,110.00,fii
VILG11,116.00,fii
VISC11,110.00,fii
VRTA11,110.00,fii
XPLG11,119.00,fii
XPML11,108.00,fii
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
